Statistical Year,Region Code,Region Name,Village Name,Ordinary Households,Institutional Households,Single-person Households,Ordinary Households - Male,Institutional Households - Male,Single-person Households - Male,Ordinary Households - Female,Institutional Households - Female,Single-person Households - Female
111,65000010001,新北市板橋區,留侯里,445,0,237,660,0,108,737,0,129
111,65000010002,新北市板橋區,流芳里,376,0,248,551,0,109,657,0,139
111,65000010003,新北市板橋區,赤松里,268,0,233,400,0,96,436,0,137
111,65000010004,新北市板橋區,黃石里,341,0,193,538,0,85,574,0,108
111,65000010005,新北市板橋區,挹秀里,512,0,332,762,0,176,835,0,156
111,65000010006,新北市板橋區,湳興里,1300,0,947,2034,0,433,2174,0,514
111,65000010007,新北市板橋區,新興里,775,0,799,1166,0,348,1251,0,451
111,65000010008,新北市板橋區,社後里,1984,0,3637,3035,0,2459,3016,0,1178
111,65000010009,新北市板橋區,香社里,1172,0,639,1895,0,327,1981,0,312
111,65000010010,新北市板橋區,中正里,1802,0,1387,2758,0,678,2883,0,709
111,65000010011,新北市板橋區,自強里,1362,0,707,2106,0,350,2232,0,357
111,65000010012,新北市板橋區,自立里,736,0,371,1126,0,176,1247,0,195
111,65000010013,新北市板橋區,光華里,694,0,428,1075,0,201,1116,0,227
111,65000010014,新北市板橋區,國光里,1007,0,534,1484,0,258,1635,0,276
111,65000010015,新北市板橋區,港尾里,767,0,344,1239,0,160,1338,0,184
111,65000010016,新北市板橋區,金華里,1032,0,464,1696,0,214,1787,0,250
111,65000010017,新北市板橋區,港德里,1223,0,687,1990,0,308,2029,0,379
111,65000010018,新北市板橋區,民權里,708,0,403,1093,0,196,1171,0,207
111,65000010019,新北市板橋區,建國里,899,0,518,1397,0,250,1556,0,268
111,65000010020,新北市板橋區,漢生里,1124,0,582,1774,0,287,1940,0,295
111,65000010021,新北市板橋區,公舘里,1033,0,493,1698,0,252,1759,0,241
111,65000010022,新北市板橋區,新民里,1226,0,519,1949,0,250,2038,0,269
111,65000010023,新北市板橋區,幸福里,1052,0,540,1671,0,269,1814,0,271
111,65000010024,新北市板橋區,忠誠里,1180,0,584,1771,0,278,1976,0,306
111,65000010025,新北市板橋區,百壽里,824,0,409,1182,0,185,1369,0,224
